Date,Yearly Mean Total Sunspot Number,Yearly Mean Standard Deviation,Number of Observations,Definitive/Provisional Indicator
1819-12-31,38.50000,7.90000,249.00000,1.00000
1820-12-31,24.20000,6.40000,224.00000,1.00000
1821-12-31,9.20000,4.20000,304.00000,1.00000
1822-12-31,6.30000,3.70000,353.00000,1.00000
1823-12-31,2.20000,2.70000,302.00000,1.00000
1824-12-31,11.40000,4.60000,194.00000,1.00000
1825-12-31,28.20000,6.80000,310.00000,1.00000
1826-12-31,59.90000,9.80000,320.00000,1.00000
1827-12-31,83.00000,11.60000,321.00000,1.00000
1828-12-31,108.50000,13.20000,301.00000,1.00000
1829-12-31,115.20000,13.60000,291.00000,1.00000
1830-12-31,117.40000,13.70000,268.00000,1.00000
1831-12-31,80.80000,11.40000,285.00000,1.00000
1832-12-31,44.30000,8.50000,277.00000,1.00000
1833-12-31,13.40000,4.90000,292.00000,1.00000
1834-12-31,19.50000,5.80000,260.00000,1.00000
1835-12-31,85.80000,11.80000,173.00000,1.00000
1836-12-31,192.70000,17.60000,166.00000,1.00000
1837-12-31,227.30000,19.10000,150.00000,1.00000
1838-12-31,168.70000,16.50000,201.00000,1.00000
1839-12-31,143.00000,15.10000,194.00000,1.00000
1840-12-31,105.50000,13.00000,248.00000,1.00000
1841-12-31,63.30000,10.10000,277.00000,1.00000
1842-12-31,40.30000,8.10000,311.00000,1.00000
1843-12-31,18.10000,5.60000,320.00000,1.00000
1844-12-31,25.10000,6.50000,294.00000,1.00000
1845-12-31,65.80000,10.30000,265.00000,1.00000
1846-12-31,102.70000,12.80000,247.00000,1.00000
1847-12-31,166.30000,16.30000,232.00000,1.00000
1848-12-31,208.30000,18.30000,234.00000,1.00000
1849-12-31,182.50000,16.60000,365.00000,1.00000
1850-12-31,126.30000,13.70000,365.00000,1.00000
1851-12-31,122.00000,13.40000,365.00000,1.00000
1852-12-31,102.70000,12.30000,366.00000,1.00000
1853-12-31,74.10000,10.40000,365.00000,1.00000
1854-12-31,39.00000,7.50000,365.00000,1.00000
1855-12-31,12.70000,4.30000,365.00000,1.00000
1856-12-31,8.20000,3.40000,366.00000,1.00000
1857-12-31,43.40000,8.00000,365.00000,1.00000
1858-12-31,104.40000,12.40000,365.00000,1.00000
1859-12-31,178.30000,16.30000,365.00000,1.00000
1860-12-31,182.20000,16.50000,366.00000,1.00000
1861-12-31,146.60000,14.80000,365.00000,1.00000
1862-12-31,112.10000,12.90000,365.00000,1.00000
1863-12-31,83.50000,11.10000,365.00000,1.00000
1864-12-31,89.20000,11.50000,366.00000,1.00000
1865-12-31,57.80000,9.20000,365.00000,1.00000
1866-12-31,30.70000,6.70000,365.00000,1.00000
1867-12-31,13.90000,4.50000,365.00000,1.00000
1868-12-31,62.80000,8.90000,366.00000,1.00000
1869-12-31,123.60000,12.50000,365.00000,1.00000
1870-12-31,232.00000,17.10000,365.00000,1.00000
1871-12-31,185.30000,15.30000,365.00000,1.00000
1872-12-31,169.20000,14.60000,366.00000,1.00000
1873-12-31,110.10000,11.80000,365.00000,1.00000
1874-12-31,74.50000,9.70000,365.00000,1.00000
